127.0.0.1 - - [11/Sep/2017:19:34:23 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Sep/2017:19:34:26 -0300] "GET /Teste/ HTTP/1.1" 404 963
0:0:0:0:0:0:0:1 - - [11/Sep/2017:19:37:08 -0300] "GET /Teste/Teste HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Sep/2017:19:37:39 -0300] "GET /Teste/MeuServidor HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [11/Sep/2017:19:53:54 -0300] "GET /Teste/MeuServidor HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [11/Sep/2017:19:53:57 -0300] "GET /Teste/MeuServidor HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [11/Sep/2017:19:57:03 -0300] "GET /Teste/MeuServidor HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [11/Sep/2017:19:57:11 -0300] "GET /Teste/MeuServidor HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [11/Sep/2017:19:57:14 -0300] "GET /Teste/MeuServidor HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [11/Sep/2017:19:58:05 -0300] "GET /Teste/MeuServidor HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [11/Sep/2017:19:58:08 -0300] "GET /Teste/MeuServidor HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [11/Sep/2017:20:38:35 -0300] "GET /Teste/MeuServidor HTTP/1.1" 200 959
